Nome,CPF,DataNascimento,Agencia,Conta,DAC,Email,DDD,Telefone,Endereco,Complemento,Cidade,Estado,CEP
Elísio Batista,395.111.464-91,20/06/1962,3613,55737,6,Monica76@bol.com.br,58,991405300,360 Silva Travessa,Sobrado 27,Nova Felícia,São Paulo,46101
Isabel Carvalho,744.590.846-35,14/05/1983,895,1571,3,Julius12@live.com,13,956375508,2174 Nogueira Avenida,Sobrado 16,Saraivado Descoberto,Ceará,39579
Antônio Braga,490.727.752-01,04/03/1959,7036,41437,2,Sarah71@yahoo.com,54,923005884,57702 Franco Marginal,Apto. 649,Nova Felíciado Sul,Rio de Janeiro,35976
Larissa Oliveira,077.461.863-94,28/11/1975,4700,96902,2,Amber.Saraiva@gmail.com,58,981955304,076 Marcelo Rodovia,Lote 02,Vila Yagodo Sul,Mato Grosso,38197
Paulo Xavier,798.523.868-91,06/05/1981,7253,83214,6,Christopher67@hotmail.com,55,919760195,70889 Sílvia Travessa,Sobrado 12,Barrosdo Descoberto,Distrito Federal,87772-168
Eduardo Albuquerque,406.660.940-63,06/02/1999,844,13553,8,Lena44@hotmail.com,14,963406656,374 Yango Viela,Apto. 310,Brunade Nossa Senhora,Espírito Santo,35998-865
Sirineu Moraes,204.779.951-10,25/06/1963,5367,28685,7,Dianne_Moreira@yahoo.com,26,964358507,892 Morgana Ponte,Lote 45,Grande Denevaldo Norte,Amapá,68028
João Macedo,879.601.777-59,11/11/1979,6173,4319,6,Lorenzo.Reis98@gmail.com,16,935205592,41461 Braga Travessa,Quadra 77,Município de Rafaelade Nossa Senhora,Rio Grande do Norte,53768
Ígor Albuquerque,685.089.412-93,24/01/1990,1485,9806,1,Ethel44@live.com,29,983923443,329 Xavier Viela,Quadra 75,Vila Gustavodo Norte,Distrito Federal,42925-892
Fabiano Albuquerque,849.532.701-50,08/09/1986,523,23993,2,Marian.Reis@bol.com.br,53,999719346,6415 Eduardo Avenida,Quadra 27,Fábiodo Norte,Santa Catarina,86108-373
Yago Braga,757.762.410-14,06/04/1953,9611,9842,4,Patrick_Santos12@bol.com.br,19,956994725,40188 Salvador Ponte,Lote 41,Grande Dalila,Santa Catarina,62712
Víctor Saraiva,371.649.195-00,15/12/1964,33,74968,7,Dana_Souza@gmail.com,33,944051725,9344 Fabiano Ponte,Lote 06,Município de Mércia,Maranhão,22877-453
Lorraine Carvalho,552.152.204-25,28/06/1983,1122,61849,1,Luz.Costa23@hotmail.com,21,936078124,64323 Elísio Rua,Sobrado 09,Pedrodo Sul,Piauí,22566
Alessandra Batista,147.550.970-70,09/08/1987,8504,15489,9,Brandon.Costa31@yahoo.com,50,997036391,7406 Isabela Ponte,Casa 0,Nova Karlado Sul,Ceará,18515-830
Karla Franco,053.857.230-29,14/09/1975,8618,32216,8,Jerry14@yahoo.com,15,978576594,61377 Cecília Alameda,Casa 6,Barrosde Nossa Senhora,Amazonas,45012-014
Roberta Batista,843.210.920-78,18/12/1966,6822,42947,6,Cecil_Moreira@live.com,23,983998426,601 Batista Travessa,Apto. 266,Melode Nossa Senhora,Alagoas,17548
Carla Franco,627.405.477-49,16/11/1990,330,91520,9,Tina.Saraiva@gmail.com,20,978063784,3833 Esther Avenida,Quadra 10,Vila Felicianodo Norte,Rondônia,38973
Janaína Franco,690.073.717-03,31/03/1984,2439,2521,3,Caleb39@gmail.com,17,932141043,0784 Yago Travessa,Apto. 524,Mariade Nossa Senhora,Piauí,39931
Isabela Silva,738.853.143-20,17/05/1962,8952,19335,5,Geoffrey98@hotmail.com,54,995960137,18375 Carvalho Rodovia,Lote 37,Melodo Norte,Bahia,03810-006
Célia Braga,032.955.004-79,01/06/1953,3997,77248,9,Ira24@live.com,14,998234968,766 Carvalho Marginal,Apto. 525,Grande Célia,Pará,15177
Guilherme Moreira,519.673.013-36,08/10/1970,8461,76260,2,Carl.Carvalho@gmail.com,55,968242476,68277 Braga Viela,Casa 3,Barrosdo Norte,Rio Grande do Sul,71114
Breno Braga,397.820.269-72,28/09/1974,7049,17531,4,Ronald_Souza@hotmail.com,22,988723928,06892 Eduardo Marginal,Lote 15,Vitóriado Descoberto,Acre,11635-816
Sirineu Carvalho,803.493.915-30,19/05/1968,7063,47910,6,Warren11@gmail.com,28,936764506,73387 Eduardo Rodovia,Quadra 67,Macedodo Descoberto,Maranhão,50076-672
Nataniel Oliveira,992.150.478-91,23/04/1964,3777,85349,3,Ramon_Moraes92@hotmail.com,15,936090557,8295 Meire Travessa,Sobrado 75,Pablodo Norte,Mato Grosso do Sul,35274
Margarida Souza,671.109.944-30,05/08/1992,4870,6182,5,Doyle65@gmail.com,53,916041343,6367 Carla Marginal,Sobrado 66,Grande Maria,Rondônia,49835
Eduarda Oliveira,377.538.804-46,16/10/1957,5259,57633,6,Kristopher.Nogueira@hotmail.com,14,976132745,215 Mércia Alameda,Sobrado 17,Velha Víctor,Piauí,27738
Gustavo Carvalho,172.895.957-85,19/10/1969,8365,46065,8,Candice.Melo45@gmail.com,25,973056023,561 Larissa Avenida,Sobrado 94,Danilodo Descoberto,Goiás,04967-282
Suélen Carvalho,888.958.434-36,11/02/1982,2975,66836,1,Bethany97@gmail.com,47,996843354,073 Santos Travessa,Apto. 999,Grande Alessandrodo Sul,Bahia,22965-233
Fabiano Moraes,309.838.166-38,09/01/1951,6998,94015,2,Mark88@bol.com.br,11,945434133,58866 Moreira Rua,Lote 67,Nova Gustavodo Descoberto,Rio Grande do Sul,08447-587
Félix Costa,979.747.870-07,01/11/1970,3226,48899,3,Kelvin.Carvalho@live.com,41,999254598,5447 Breno Alameda,Quadra 02,Grande Marcelo,Rondônia,55912-550
Cecília Batista,243.004.703-91,11/01/1972,2061,75933,5,Orlando_Albuquerque33@live.com,35,913164412,942 Rafael Travessa,Lote 82,Vila Marcosdo Descoberto,Maranhão,14047-178
João Macedo,214.199.394-67,30/08/1953,5595,17538,3,Ramiro.Carvalho@bol.com.br,49,990199098,5624 Karla Avenida,Apto. 765,Grande Feliciano,Roraima,69183
Ofélia Franco,025.730.766-44,04/04/1984,9537,47590,2,Kari0@live.com,29,930243843,86461 Rafaela Travessa,Quadra 41,Souzado Norte,Roraima,81701
Ricardo Moreira,071.838.306-08,31/07/1969,8557,31689,5,Clay.Carvalho@yahoo.com,48,928005095,813 Souza Viela,Sobrado 21,Município de Hélio,Acre,53498
Felícia Barros,165.350.693-89,23/05/1984,8393,39932,4,Jeannie.Carvalho74@yahoo.com,51,931101547,332 Elísio Alameda,Quadra 37,Velha Eduardo,Alagoas,80134-665
Nataniel Oliveira,635.358.030-47,10/04/1987,2582,7684,3,Elias.Silva@hotmail.com,51,930881982,409 Tertuliano Rua,Apto. 727,Víctordo Descoberto,Paraíba,58194
Vicente Braga,319.545.621-44,24/10/1957,1563,97178,8,Emilio.Silva@hotmail.com,11,926271327,643 Santos Rua,Lote 85,Velha Karla,Minas Gerais,88093
Kléber Moraes,599.518.244-71,28/06/1985,2376,67068,8,Sherman35@live.com,27,988164716,7623 Paulo Avenida,Quadra 14,Vila Marcos,Amapá,33591-303
Ígor Reis,247.003.637-20,17/02/1986,9534,29022,3,Shelley.Nogueira@yahoo.com,38,966851319,5864 Xavier Rua,Quadra 95,Tertulianodo Norte,Paraíba,66391
Fabiano Albuquerque,890.702.666-10,17/05/1961,5908,49521,7,Myra72@gmail.com,38,915729124,42412 Bruna Marginal,Casa 3,Saraivado Sul,Maranhão,37185-973
Gúbio Souza,939.103.758-55,20/10/1999,5519,64582,3,Fred_Carvalho38@hotmail.com,39,966478652,68613 Moraes Travessa,Sobrado 78,Batistado Descoberto,Minas Gerais,06468
Breno Barros,433.059.007-76,06/08/1999,2543,36076,7,Inez99@yahoo.com,54,947477196,273 Xavier Rua,Casa 1,Carvalhodo Sul,Pernambuco,30810
Gúbio Franco,438.584.957-94,08/07/1969,739,45898,5,Pamela37@yahoo.com,45,925262917,761 Ricardo Avenida,Sobrado 14,Município de Aline,Rondônia,01617
Ofélia Barros,189.392.589-75,27/04/1972,4290,52584,2,Stanley_Xavier@hotmail.com,31,999451588,89869 Isabela Marginal,Lote 77,Félixdo Descoberto,Santa Catarina,02053-099
Víctor Souza,718.439.080-69,15/02/1979,8453,17133,9,Tommy_Silva@live.com,29,944316192,730 Núbia Viela,Sobrado 95,Fábiodo Sul,Rio Grande do Sul,35396
Talita Braga,242.578.056-41,29/01/1962,6062,70846,3,Kara80@yahoo.com,56,984379053,2111 Sara Viela,Apto. 833,Município de Karlade Nossa Senhora,Alagoas,53722
Júlio Albuquerque,388.675.401-49,07/04/1983,7863,67855,3,Marcella_Batista38@yahoo.com,16,936044717,532 Batista Rua,Apto. 847,Tertulianodo Norte,Alagoas,31774-217
Karla Xavier,201.871.398-14,22/08/1950,7580,54744,4,Colin_Xavier36@live.com,15,935148907,5271 Silva Marginal,Quadra 16,Nova Núbiado Descoberto,São Paulo,19703
Márcia Franco,493.186.904-10,21/01/1966,4613,85214,9,Darin.Moreira@yahoo.com,55,930055584,203 Marli Alameda,Sobrado 74,Nogueirade Nossa Senhora,Rio Grande do Norte,76522
Morgana Nogueira,121.597.123-02,16/05/1995,3225,1321,4,Amelia.Martins52@yahoo.com,41,934604809,3645 Nogueira Travessa,Sobrado 17,Nova Yagodo Descoberto,Ceará,60649-144
Suélen Braga,518.574.537-19,21/04/1977,5226,90870,4,Ronnie_Barros71@bol.com.br,31,961273254,21329 Félix Rodovia,Sobrado 15,Costado Descoberto,Minas Gerais,81908
Pablo Moraes,061.212.855-59,07/09/1957,8377,1297,4,Jamie_Xavier@bol.com.br,56,961008426,3635 Gustavo Avenida,Quadra 39,Grande Vicentedo Norte,Roraima,09965-899
Kléber Moreira,091.380.421-50,21/11/1955,397,149,9,Pearl34@yahoo.com,38,972932852,9717 Ígor Rua,Lote 10,Vila Norberto,Ceará,38690-914
Aline Martins,151.288.209-71,04/08/1980,2775,17333,2,Harold_Albuquerque65@gmail.com,38,934545993,363 Júlio César Ponte,Lote 30,Pereirado Descoberto,Rio Grande do Norte,95738-481
Sílvia Pereira,201.807.921-21,30/06/1974,5821,47910,1,Maxine.Souza@bol.com.br,41,968910028,572 Marli Rua,Casa 0,Saraivado Sul,Roraima,29855
Sara Costa,939.287.813-32,17/07/1979,1621,67660,6,Kent_Batista50@bol.com.br,24,950096558,7880 Pereira Alameda,Casa 2,Vila Lorenade Nossa Senhora,Bahia,35997
Célia Moraes,842.373.888-40,26/05/1964,7259,97070,4,Maryann30@bol.com.br,31,998497617,90729 Barros Travessa,Lote 06,Francode Nossa Senhora,Amazonas,63271
Víctor Silva,579.621.875-14,23/05/1961,7974,59961,4,Roderick54@bol.com.br,13,938896449,5685 Batista Alameda,Quadra 53,Sirineudo Descoberto,Santa Catarina,98521-047
Antônio Moreira,642.408.603-00,10/04/1952,3454,97949,8,Joshua_Braga65@live.com,52,914488164,597 Rafael Travessa,Quadra 69,Município de Kléber,Rio de Janeiro,72937-872
Cecília Batista,640.632.326-20,24/11/1996,540,43714,7,Patti.Pereira36@bol.com.br,46,982284119,022 Vicente Alameda,Sobrado 45,Grande Sirineu,Piauí,49052-107
Fabiano Silva,401.722.593-47,24/09/1972,7415,58369,5,Shelia.Braga78@live.com,24,926682998,055 Núbia Avenida,Lote 62,Vila Silasde Nossa Senhora,Roraima,78540-703
Meire Pereira,235.845.512-18,07/07/1950,9974,11857,3,Dale56@yahoo.com,25,982499288,864 Pereira Rodovia,Apto. 872,Talitado Descoberto,Piauí,28489
Isabel Xavier,140.903.861-01,24/01/1958,3439,68324,5,Clayton.Martins83@live.com,13,934805333,47265 Moreira Travessa,Quadra 44,Víctordo Norte,Pará,98673
Núbia Melo,894.190.996-10,15/07/1960,3937,82104,7,Marc_Oliveira65@bol.com.br,50,990934510,19782 Moraes Alameda,Sobrado 83,Marcelodo Descoberto,Acre,28834
Karla Costa,864.742.405-04,25/06/1966,4570,37156,1,Tara72@hotmail.com,47,918169794,910 Talita Alameda,Sobrado 68,Rafaelado Sul,Rio Grande do Sul,39746-235
Fabiano Xavier,381.423.913-09,04/04/1995,8195,49749,3,Chelsea32@bol.com.br,10,984299851,885 Warley Avenida,Quadra 90,Vila Joanado Norte,Rio de Janeiro,31653-366
Sirineu Batista,731.597.193-91,28/06/1963,2895,75389,5,Herbert_Barros@hotmail.com,38,985923862,84343 Ígor Viela,Apto. 462,Velha Pablo,Paraíba,27027
Sara Moreira,937.343.199-43,09/11/1971,5460,68678,4,Rosie41@gmail.com,58,987640363,654 Saraiva Avenida,Quadra 38,Silvade Nossa Senhora,Tocantins,86258
Félix Batista,036.962.381-98,27/02/1964,8962,77013,1,Debbie_Santos42@gmail.com,17,966972812,04915 Braga Alameda,Apto. 176,Martinsdo Norte,Alagoas,33324-578
Ofélia Carvalho,129.091.881-32,05/10/1952,2477,60931,6,Henrietta14@hotmail.com,53,998546647,20338 Barros Travessa,Sobrado 31,Nova Norbertodo Sul,Santa Catarina,75898
Roberta Franco,233.722.642-58,06/04/1955,5783,4313,8,Anthony21@bol.com.br,12,962259715,58414 Costa Rodovia,Sobrado 57,Velha Marcelado Descoberto,Amazonas,90443
Sílvia Macedo,558.977.198-61,09/11/1974,5376,64641,1,Wallace_Saraiva@yahoo.com,46,931249899,005 Carvalho Ponte,Casa 7,Francodo Descoberto,Paraná,29840
João Melo,032.354.776-16,01/06/1970,4047,29275,8,Freda_Carvalho@yahoo.com,16,980005664,730 Costa Travessa,Apto. 067,Sirineudo Descoberto,Distrito Federal,19005-231
Fábio Melo,792.434.548-54,28/08/1968,6629,85411,4,Dora_Macedo@hotmail.com,29,933325557,5178 Barros Travessa,Apto. 570,Grande Gúbiodo Norte,Rio Grande do Sul,83913
Fabiano Albuquerque,772.178.410-70,06/09/1999,9053,19732,5,Israel85@gmail.com,37,995656566,5535 Larissa Alameda,Casa 5,Município de Fredericodo Sul,Paraná,47125-727
Sirineu Silva,902.898.063-64,20/03/1956,9495,92660,8,Raul_Costa48@bol.com.br,21,944416084,774 Carvalho Ponte,Casa 8,Robertodo Sul,Pará,42225-011
Alexandre Nogueira,338.995.104-02,28/03/1969,9693,4640,7,Chris_Carvalho29@gmail.com,40,992292903,9268 Santos Marginal,Apto. 080,Vila Sarade Nossa Senhora,Distrito Federal,91291-147
Sara Franco,693.417.268-08,18/03/1957,2103,98530,1,Jacob_Barros@yahoo.com,57,919603703,15716 Nogueira Alameda,Sobrado 85,Karlado Descoberto,Alagoas,12111
Heitor Oliveira,941.250.208-76,27/05/1964,5690,19986,5,Amos_Silva79@bol.com.br,24,992095304,8594 Vitória Avenida,Apto. 421,Município de Paulado Descoberto,Pará,16592-772
Vicente Carvalho,866.228.332-22,28/09/1982,3839,48553,3,Perry78@live.com,18,969741623,9276 Macedo Viela,Quadra 97,Grande Robertade Nossa Senhora,Espírito Santo,35418
Esther Barros,084.543.801-83,25/02/1985,4884,76549,8,Clinton51@live.com,13,928195884,61339 Barros Rua,Lote 78,Nova Sílviado Descoberto,Pará,78507-655
Fabiano Reis,430.041.260-01,30/05/1990,8992,97382,7,Sabrina90@hotmail.com,24,990121460,420 Batista Rua,Casa 1,Nova Vitória,Sergipe,25751-216
Márcia Moreira,730.692.033-29,29/04/1957,6093,91608,1,Woodrow.Santos@live.com,21,944856761,2157 Souza Rua,Sobrado 01,Natáliado Descoberto,Paraná,85947-241
Rafael Oliveira,225.056.531-78,24/07/1984,1208,16095,3,Jean_Costa73@bol.com.br,30,956037724,22752 Braga Alameda,Quadra 43,Velha Karlado Descoberto,Alagoas,37405
Silas Melo,112.080.116-85,25/04/1975,3886,99351,1,Bobby_Xavier@gmail.com,20,988780657,576 Carvalho Marginal,Casa 1,Grande Frederico,Tocantins,78809-238
Salvador Moraes,046.795.349-07,25/05/1976,8929,90263,9,Luz.Nogueira62@gmail.com,20,930352907,0559 Eduardo Avenida,Casa 5,Município de Césardo Descoberto,Paraíba,89286-310
Washington Moreira,617.506.850-51,04/08/1982,3792,95430,5,Lindsay78@live.com,41,994475041,922 Paula Ponte,Apto. 454,Santosdo Descoberto,Pernambuco,04264
Tertuliano Nogueira,390.398.526-00,01/06/1998,2956,6875,1,Clyde.Batista@yahoo.com,40,935334483,748 Moraes Rua,Lote 04,Carvalhodo Descoberto,Mato Grosso,25648
Júlio César Saraiva,333.807.127-28,25/07/1959,9711,34094,5,Angela_Oliveira@live.com,42,998213093,7978 Moraes Viela,Sobrado 51,Moraesdo Norte,Rio Grande do Norte,54736
Meire Macedo,620.441.795-98,20/12/1958,6744,61092,4,Kristin_Moraes@gmail.com,22,992607103,29913 Costa Marginal,Apto. 121,Município de Eduardado Sul,Mato Grosso do Sul,10388-867
Fabrícia Souza,137.907.952-75,07/12/1975,4761,72133,5,Jana_Saraiva1@yahoo.com,43,943009623,15194 Albuquerque Rua,Sobrado 87,Nova Fabríciodo Norte,Minas Gerais,38098
Salvador Oliveira,307.420.486-91,19/11/1962,4753,76078,4,Seth.Nogueira14@gmail.com,53,939475157,4541 Braga Rua,Sobrado 55,Albuquerquede Nossa Senhora,Acre,67108-872
Heitor Saraiva,273.213.650-69,23/07/1980,3777,54622,8,Maxine_Carvalho@gmail.com,37,930016367,566 Albuquerque Rua,Casa 1,Pedrodo Sul,Acre,34182
Roberto Martins,329.761.959-78,05/03/1998,1311,52954,3,Beverly_Martins@live.com,27,918083827,226 Oliveira Viela,Casa 1,Nova Cecíliado Descoberto,Rio Grande do Norte,41394-363
Lorraine Souza,603.940.606-28,16/08/1962,2440,85613,2,Jill_Oliveira@yahoo.com,37,993638735,769 Xavier Viela,Lote 68,Silvado Sul,Ceará,94849
Feliciano Macedo,837.423.215-36,27/03/1959,6617,25915,7,Danny.Melo90@yahoo.com,48,972180942,603 Carvalho Alameda,Quadra 59,Cecíliade Nossa Senhora,Sergipe,13021
Nataniel Batista,431.255.422-60,03/01/1959,632,78783,4,Silvia_Reis83@live.com,16,964646050,2337 Alessandro Travessa,Quadra 36,Warleydo Descoberto,Rio de Janeiro,55853
Antônio Xavier,468.188.852-41,28/10/1951,6836,62352,3,Moses_Macedo45@yahoo.com,59,996274699,39611 Bruna Alameda,Sobrado 46,Nova Mariade Nossa Senhora,Rondônia,79255
Ígor Pereira,974.302.977-06,06/02/1963,8323,51328,1,Eleanor_Reis@live.com,29,948578847,4454 Franco Rua,Apto. 350,Nova Gustavodo Norte,Espírito Santo,44603
Sílvia Barros,304.904.743-73,26/09/1965,6953,43594,3,Katrina.Barros@yahoo.com,43,958784715,683 Larissa Marginal,Quadra 20,Velha Suélendo Sul,Piauí,49862
Sílvia Carvalho,399.778.385-34,23/07/1996,9577,92829,2,Raul.Nogueira41@yahoo.com,11,973866005,1547 Silva Ponte,Quadra 45,Nogueirado Sul,Paraná,64512-947
Paulo Braga,351.548.435-33,09/04/1953,7032,46316,9,Isabel53@gmail.com,16,929766864,949 Salvador Viela,Apto. 102,Município de Cecíliado Descoberto,Bahia,41223-492
Fabiano Barros,749.180.380-69,10/05/1981,9392,14919,3,Susan.Moraes67@live.com,23,993674759,3534 Carvalho Rua,Sobrado 86,Bragado Sul,Roraima,48400
Ladislau Pereira,944.525.345-03,05/03/1966,5900,64839,4,Bert_Reis@hotmail.com,48,931228937,227 Alessandra Travessa,Sobrado 34,Felicianodo Sul,Rondônia,42223-118
Alexandre Braga,151.628.058-07,19/04/1995,7288,51833,1,Lawrence20@bol.com.br,56,959307423,128 Costa Travessa,Lote 54,Velha Lorenade Nossa Senhora,Amapá,22751
Júlia Macedo,620.725.244-66,05/10/1975,6531,59873,4,Randolph_Reis94@live.com,34,956989092,712 Paula Rodovia,Sobrado 06,Vila Silas,Rio Grande do Sul,49325-834
Antônio Saraiva,432.951.250-58,05/12/1999,564,34270,6,Byron.Carvalho4@hotmail.com,48,951228774,5174 Nogueira Rodovia,Casa 4,Vila Sílvia,Distrito Federal,28607
